#DroneDeploy	4.68.0
#Flight Recorder
Session ID	61a804011591990426bf2100
Session Start	12/01/2021 23:23:45
#Device
Device Model	SM-G981U1
Device Manufacturer	samsung
Device Operating System	Android	11
#Aircraft
Aircraft Model	Mavic 2 Pro
Aircraft Name	JMM Mavic 2 Pro
Aircraft Firmware	01.00.0770
#Aircraft Battery
Full Charge Volume (mAh)	3672
Remaining Life (%)	100
Discharges	26
#Components
Battery Cells Number	3
Battery Serial Number	0P2DHA46440515
Battery Firmware	02.74.07.37
Flight Controller Serial Number	1633J6G001M031
Flight Controller Firmware	03.04.00.64
Gimbal Firmware	00.01.10.91
Remote Control Serial Number	1DUCH9UR02642V
Remote Control Firmware	01.00.0770
Camera Serial Number	0K8TFBH0021589
Camera Firmware	00.14.00.06
Date/Time (GMT)	Elapsed Time (sec)	Info	Aircraft Battery Power (%)	Aircraft Battery Charge (mAh)	Aircraft Battery Current (mA)	Aircraft Battery Voltage (mV)	Aircraft Battery Temperature (Fahrenheit)	Aircraft Battery Last Updated (ms)	Aircraft Battery Cell 1 Voltage (mV)	Aircraft Battery Cell 2 Voltage (mV)	Aircraft Battery Cell 3 Voltage (mV)	Aircraft Battery Cell 4 Voltage (mV)	Aircraft Latitude (Degrees)	Aircraft Longitude (Degrees)	Aircraft Barometric Altitude (ft)	Aircraft Heading (Degrees)	Aircraft Pitch (Degrees)	Aircraft Roll (Degrees)	Aircraft Satellites	Aircraft Motors On	Aircraft Flying	Aircraft Flight Mode	Aircraft Flight Mode Value	Aircraft IMU Preheating	Aircraft Ultrasonic On	Aircraft Ultrasonic Altitude (ft)	Aircraft Vision On	Aircraft GPS Signal	Aircraft GPS Signal Value	Aircraft No-Fly	Aircraft No-Fly Value	Aircraft No-fly Latitude (Degrees)	Aircraft No-fly Longitude (Degrees)	Aircraft No-fly Radius (ft)	Home Latitude (Degrees)	Home Longitude (Degrees)	Aircraft Smart Go-home Flight Time Remaining (sec)	Aircraft Smart Go-home Flight Return Time (sec)	Aircraft Smart Go-home Landing Time (sec)	Aircraft Smart Go-home Return Power (%)	Aircraft Smart Go-home Landing Power (%)	Aircraft Smart Go-home Radius (ft)	Aircraft Smart Go-home Countdown (sec)	Aircraft Smart Go-home State	Aircraft System State Last Updated (ms)	Gimbal Pitch (Degrees)	Gimbal Roll (Degrees)	Gimbal Yaw (Degrees)	Gimbal Mode	Gimbal Mode Value	Gimbal Pitch at Stop	Gimbal Roll at Stop	Gimbal Yaw at Stop	Gimbal State Last Updated (ms)	Landing Gear is Movable	Landing Gear Status	Landing Gear Status Value	Landing Gear Mode	Landing Gear Mode Value	RC State	RC State Value	RC Left Horizontal	RC Left Vertical	RC Right Horizontal	RC Right Vertical	RC Left Wheel	RC Right Wheel	RC Landing Gear	RC Landing Gear Value	RC Go Home	RC Record	RC Shutter	RC Playback	RC Pause	RC Custom 1	RC Custom 2	RC State Last Updated (ms)	RC Battery (%)	RC Satellites	RC Horizontal Accuracy (ft)	RC Latitude (Degrees)	RC Longitude (Degrees)	RC GPS Last Updated (ms)	RC Signal 1 (%)	RC Signal 2 (%)	RC Signal Last Updated (ms)	LB Signal 1 (%)	LB Signal 2 (%)	LB Signal Last Updated (ms)	Aircraft Camera Mode	Aircraft Camera Mode Value	Aircraft Camera Overheated	Aircraft Camera Sensor Error	Aircraft Camera Recording	Aircraft Camera Raw Capture	Aircraft Camera Interval Capture	Aircraft Camera Burst Capture	Aircraft Camera Single Capture	Aircraft Camera Storing Photo	Aircraft Camera SD Card Exists	Aircraft Camera SD Card Remaining (%)	Aircraft Camera Lens Installed	Aircraft Camera Lens Type	Aircraft Camera Lens Type Value	Aircraft Camera Lens AF Enabled	Aircraft Camera Lens Focus Mode	Aircraft Camera Lens Focus Mode Value	Aircraft Camera Lens Focus Status	Aircraft Camera Lens Focus Status Value	Aircraft Camera Lens MF Assistant	Aircraft Camera Lens AF Assistant	Aircraft Camera Lens Assistant Working	Device > Aircraft Distance - XY (ft)	Aircraft Vel - X (mph)	Aircraft Vel - Y (mph)	Aircraft Vel - Z (mph)	Aircraft Speed (mph)
12/01/2021 23:23:46	1.819	[{"message":"Mission did take off"},{"planId":"61a803f01591990426bf20fb","projectId":"61295629473ddb6a32682273","templateId":"61a7eaff6b9bb32cf735b4eb"}]	66	2412	-1310	15970	38.8	18					32.96138223962492	-97.2765785293478	2.952756	112.7	0.0	0.0	15.0	1	1	TakeOff	11	0	1	3.28084	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5063.883	0	IDLE	101	0.0	0.0	17.1	YawFollowMode	2	0	0	0	100	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-0.89477676	0.0
12/01/2021 23:23:47	2.019		66	2412	-1310	15970	38.8	18	3998	3993	3993	3987	32.96138222388212	-97.27657848460025	3.28084	112.7	-0.1	0.0	15.0	1	1	TakeOff	14	0	1	3.608924	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5063.883	0	IDLE	101	0.0	0.0	13.7	YawFollowMode	2	0	0	0	98	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-0.89477676	0.0
12/01/2021 23:23:47	2.12		66	2412	-1310	15970	38.8	18	3998	3993	3993	3987	32.96138221583261	-97.27657846171913	3.608924	112.7	-0.1	0.0	15.0	1	1	F-WP	14	0	1	3.608924	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5063.883	0	IDLE	101	0.0	0.0	11.1	YawFollowMode	2	0	0	0	100	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-0.89477676	0.0
12/01/2021 23:23:47	2.22		66	2412	-1310	15970	38.8	18	3998	3993	3993	3987	32.96138220690232	-97.27657843633577	3.608924	112.7	0.0	0.0	15.0	1	1	F-WP	14	0	1	3.9370081	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5063.883	0	IDLE	101	-16.3	-0.1	9.3	YawFollowMode	2	0	0	0	101	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-0.89477676	0.0
12/01/2021 23:23:47	2.319		66	2412	-1310	15970	38.8	18	3998	3993	3993	3987	32.96138219793186	-97.27657841083757	3.9370081	112.7	0.1	0.0	15.0	1	1	F-WP	14	0	1	3.9370081	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5063.883	0	IDLE	102	-43.1	-0.4	8.1	YawFollowMode	2	0	0	0	100	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-0.89477676	0.0
12/01/2021 23:23:47	2.419		66	2412	-1310	15970	38.8	18	3998	3993	3993	3987	32.961382189475565	-97.27657838680076	3.9370081	112.7	0.0	0.0	15.0	1	1	F-WP	14	0	1	4.265092	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5063.883	0	IDLE	101	-69.9	-0.3	6.3	YawFollowMode	2	0	0	0	100	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-0.89477676	0.0
12/01/2021 23:23:47	2.519		66	2412	-1310	15970	38.8	18	3997	3992	3993	3985	32.96138218161507	-97.27657836445887	4.265092	112.7	0.0	0.0	15.0	1	1	F-WP	14	0	1	4.265092	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5063.883	0	IDLE	102	-88.5	0.0	4.7	YawFollowMode	2	0	0	0	100	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-0.89477676	0.0
12/01/2021 23:23:47	2.619		66	2412	-1310	15970	38.8	18	3997	3992	3993	3985	32.961382174245976	-97.27657834351139	4.265092	112.7	0.1	0.0	15.0	1	1	F-WP	14	0	1	4.593176	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5072.5093	0	IDLE	101	-89.1	0.0	3.8	YawFollowMode	2	0	0	0	100	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-1.1184709	0.0
12/01/2021 23:23:47	2.719		66	2412	-1319	15970	38.8	18	3997	3992	3993	3985	32.9613821645243	-97.27657831587535	4.92126	112.7	0.6	0.0	15.0	1	1	F-WP	14	0	1	4.92126	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5072.5093	0	IDLE	101	-89.1	0.0	3.2	YawFollowMode	2	0	0	0	98	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-2.0132475	0.0
12/01/2021 23:23:47	2.819		66	2412	-1319	15970	38.8	18	3997	3992	3993	3985	32.9613821645243	-97.27657831587535	4.92126	112.7	0.6	0.0	15.0	1	1	F-WP	14	0	1	4.92126	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	0	0	0	0	N/A	5072.5093	0	IDLE	102	-89.1	0.0	2.6	YawFollowMode	2	0	0	0	103	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	0	N/A	0	0	0	0	0.0	0.0	0.0	-2.0132475	0.0
